レポート開始日,レポート終了日,広告セット名,広告セットの配信,結果,結果インジケーター,結果の単価,広告セットの予算,広告セットの予算タイプ,"消化金額 (JPY)",インプレッション,リーチ,フリークエンシー,"CPM(インプレッション単価) (JPY)",リンククリック,終了日時,開始,アトリビューション設定,入札,入札タイプ,前回の大きな変更
2026-03-09,2026-04-07,ASAP-adset-01,not_delivering,,,,キャンペーン予算を使用,0,0,0,0,0,0,,継続,2024-02-27,クリックから7日間、または表示から1日間,0,ABSOLUTE_OCPM,2025-10-26T14:30:41+0900
2026-03-09,2026-04-07,Travis-adset-01,not_delivering,,,,キャンペーン予算を使用,0,0,0,0,0,0,,継続,2024-02-27,クリックから7日間、または表示から1日間,0,ABSOLUTE_OCPM,2025-03-07T17:13:56+0900
2026-03-09,2026-04-07,Chill-adset-01,not_delivering,,,,キャンペーン予算を使用,0,0,0,0,0,0,,継続,2024-02-27,クリックから7日間、または表示から1日間,0,ABSOLUTE_OCPM,2025-03-06T18:20:31+0900
2026-03-09,2026-04-07,Memoria-adset-01,not_delivering,,,,キャンペーン予算を使用,0,0,0,0,0,0,,継続,2024-02-27,クリックから7日間、または表示から1日間,0,ABSOLUTE_OCPM,2025-03-04T16:30:40+0900
2026-03-09,2026-04-07,Massive-adset-01,active,509,actions:offsite_conversion.fb_pixel_complete_registration,975.98231827,キャンペーン予算を使用,0,496775,235565,55397,4.252306,2108.865918,10811,継続,2024-02-27,クリックから7日間、または表示から1日間,0,ABSOLUTE_OCPM,2026-04-08T16:56:54+0900
2026-03-09,2026-04-07,Olive-adset-01,not_delivering,199,actions:offsite_conversion.fb_pixel_complete_registration,1528.0201005,キャンペーン予算を使用,0,304076,108298,28223,3.837225,2807.77115,6921,継続,2024-07-07,クリックから7日間、または表示から1日間,0,ABSOLUTE_OCPM,2026-03-25T08:12:36+0900
2026-03-09,2026-04-07,ASAP2,not_delivering,,,,キャンペーン予算を使用,0,0,0,0,0,0,,継続,2024-09-11,クリックから7日間、または表示から1日間,2000,ABSOLUTE_OCPM,2024-11-11T23:53:32+0900
2026-03-09,2026-04-07,Travis2,not_delivering,,,,キャンペーン予算を使用,0,0,0,0,0,0,,継続,2024-09-11,クリックから7日間、または表示から1日間,0,ABSOLUTE_OCPM,2025-03-07T17:15:36+0900
2026-03-09,2026-04-07,Massive2,not_delivering,,,,キャンペーン予算を使用,0,0,0,0,0,0,,継続,2024-09-11,クリックから7日間、または表示から1日間,2000,ABSOLUTE_OCPM,2024-11-12T00:14:00+0900
2026-03-09,2026-04-07,Chill2,not_delivering,,,,キャンペーン予算を使用,0,0,0,0,0,0,,継続,2024-09-12,クリックから7日間、または表示から1日間,2000,ABSOLUTE_OCPM,2024-11-11T23:36:01+0900
2026-03-09,2026-04-07,Rakuen-adset-01,not_delivering,,,,キャンペーン予算を使用,0,0,0,0,0,0,,継続,2025-01-02,クリックから7日間、表示から1日間、またはエンゲージビューから1日間,0,ABSOLUTE_OCPM,2025-01-02T23:10:10+0900
2026-03-09,2026-04-07,TOUR-adset-01,not_delivering,,,,キャンペーン予算を使用,0,0,0,0,0,0,,継続,2025-01-04,クリックから7日間、表示から1日間、またはエンゲージビューから1日間,0,ABSOLUTE_OCPM,2025-03-10T23:14:02+0900
2026-03-09,2026-04-07,Action-adset-01,not_delivering,,,,キャンペーン予算を使用,0,0,0,0,0,0,,継続,2025-01-04,クリックから7日間、表示から1日間、またはエンゲージビューから1日間,0,ABSOLUTE_OCPM,2025-05-19T21:33:30+0900
2026-03-09,2026-04-07,ASAP3-adset-01,not_delivering,,,,キャンペーン予算を使用,0,0,0,0,0,0,,継続,2025-01-17,クリックから7日間、表示から1日間、またはエンゲージビューから1日間,0,ABSOLUTE_OCPM,2025-03-03T13:21:04+0900
2026-03-09,2026-04-07,ASAP3-adset-01,not_delivering,,,,キャンペーン予算を使用,0,0,0,0,0,0,,継続,2025-01-16,クリックから7日間、または表示から1日間,0,ABSOLUTE_OCPM,2025-01-30T10:57:46+0900
2026-03-09,2026-04-07,"Massive2 20y",not_delivering,,,,キャンペーン予算を使用,0,0,0,0,0,0,,継続,2025-02-20,クリックから7日間、表示から1日間、またはエンゲージビューから1日間,0,ABSOLUTE_OCPM,2025-02-20T19:22:59+0900
2026-03-09,2026-04-07,"Travis2 30y",not_delivering,,,,キャンペーン予算を使用,0,0,0,0,0,0,,継続,2025-02-20,クリックから7日間、または表示から1日間,0,ABSOLUTE_OCPM,2025-02-20T18:22:49+0900
2026-03-09,2026-04-07,Memoria-adset-01,not_delivering,,,,キャンペーン予算を使用,0,0,0,0,0,0,,継続,2025-03-19,クリックから7日間、または表示から1日間,0,ABSOLUTE_OCPM,0
2026-03-09,2026-04-07,ASAP3-adset-01,not_delivering,,,,キャンペーン予算を使用,0,0,0,0,0,0,,継続,2025-04-09,クリックから7日間、表示から1日間、またはエンゲージビューから1日間,0,ABSOLUTE_OCPM,2025-10-02T05:51:41+0900
2026-03-09,2026-04-07,Travis-adset-01,not_delivering,216,actions:offsite_conversion.fb_pixel_complete_registration,1409.81481481,キャンペーン予算を使用,0,304520,189456,38868,4.874344,1607.338907,10089,継続,2025-04-09,クリックから7日間、または表示から1日間,0,ABSOLUTE_OCPM,2026-04-01T12:45:24+0900
2026-03-09,2026-04-07,"Massive CV 0703",not_delivering,,,,キャンペーン予算を使用,0,0,0,0,0,0,,継続,2025-07-03,クリックから7日間、表示から1日間、またはエンゲージビューから1日間,0,ABSOLUTE_OCPM,2025-07-03T10:58:31+0900
